record_id,date,location,work_type,hazard_id,hazard_label,hazard_category,exposure_level,ppe_required,ppe_labels,environmental_doc_type,environmental_doc_id,temperature_f,noise_db,airborne_particles_ppm,supervisor,shift,incident_flag
REC-1036,2025-03-15,Hangar B,Fuel System Repair,haz_reaching_awkward_position,Reaching/ Awkward Position,Ergonomics & Human Factors,Severe,ppe_earmuffs; ppe_fr_clothing,Earmuffs; FR Clothing,Hot Work Permit,DOC-2262,77,76,9.13,TSgt Rivera,Day,0
REC-1037,2025-05-02,Maintenance Bay 1,Chemical Cleaning,haz_eyes_on_hands_work,Eyes on Hands/ Work,Ergonomics & Human Factors,Moderate,ppe_steel_toe_shoes,Steel Toe Shoes,JSA,DOC-2606,110,86,1.62,Capt Howard,Night,0
REC-1038,2026-01-16,Paint Booth,Routine Inspection,haz_hazardous_materials_exposure,Hazardous Materials Exposure,Chemical & Airborne,Severe,ppe_active_harness_and_lanyard; ppe_papr; ppe_bump_cap,Active (Harness and Lanyard); PAPR; Bump Cap,Noise Survey,DOC-2108,85,101,9.57,Lt Brooks,Night,0
REC-1039,2025-04-11,Maintenance Bay 2,Ground Ops,haz_path_of_travel,Path of Travel,Physical Environment,Severe,ppe_passive_guard_rails_restraint; ppe_heat_cold_resistant_gloves,"Passive (Guard Rails, Restraint); Heat/Cold Resistant Gloves",Hot Work Permit,DOC-2606,64,96,12.79,TSgt Rivera,Swing,1
REC-1040,2025-06-12,Paint Booth,Welding Task,haz_machine_guards,Machine Guards,Mechanical & Equipment,Severe,ppe_rescue_plan_required_for_active_restraints; ppe_respirator; ppe_hard_hat; ppe_safety_glasses,Rescue Plan (required for active restraints); Respirator; Hard Hat; Safety Glasses,HAZMAT Report,DOC-2363,63,98,4.27,Civ Patel,Night,0
REC-1041,2025-07-27,Maintenance Bay 2,Fuel System Repair,haz_insect_snake_animal,Insect/ Snake/ Animal,Biological,Severe,ppe_goggles; ppe_chemical_resistant_gloves,Goggles; Chemical Resistant Gloves,Hot Work Permit,DOC-2728,92,112,11.91,TSgt Rivera,Swing,0
REC-1042,2025-06-23,Paint Booth,Chemical Cleaning,haz_inadequate_lighting,Inadequate Lighting,Physical Environment,High,ppe_steel_toe_shoes; ppe_bump_cap,Steel Toe Shoes; Bump Cap,Air Quality Log,DOC-2719,88,89,4.67,MSgt Coleman,Day,0
REC-1043,2025-03-04,Flight Line,Fuel System Repair,haz_head_knocker,Head Knocker,Physical Environment,Moderate,ppe_active_harness_and_lanyard,Active (Harness and Lanyard),Hot Work Permit,DOC-2495,65,91,14.71,MSgt Coleman,Swing,0
REC-1044,2025-02-23,Flight Line,Avionics Work,haz_hot_cold_surfaces,Hot/ Cold Surfaces,Physical Environment,Low,ppe_steel_toe_shoes; ppe_safety_glasses,Steel Toe Shoes; Safety Glasses,JSA,DOC-2566,67,71,9.6,Lt Brooks,Day,0
REC-1045,2026-01-25,Fuel Cell Shop,Ground Ops,haz_other,Other,Other,Low,ppe_fr_clothing; ppe_supplied_air; ppe_hard_hat; ppe_double_hearing_protection,FR Clothing; Supplied Air; Hard Hat; Double Hearing Protection,JSA,DOC-2410,92,64,8.7,TSgt Rivera,Day,0
REC-1046,2025-12-22,Maintenance Bay 1,Fuel System Repair,haz_congestion_tight_spaces,Congestion/ Tight Spaces,Physical Environment,Severe,ppe_chemical_resistant_gloves,Chemical Resistant Gloves,Noise Survey,DOC-2930,86,93,12.92,Lt Brooks,Swing,0
REC-1047,2025-03-19,Hangar B,Welding Task,haz_eyes_on_hands_work,Eyes on Hands/ Work,Ergonomics & Human Factors,Moderate,ppe_cut_resistant_gloves; ppe_heat_cold_resistant_gloves,Cut Resistant Gloves; Heat/Cold Resistant Gloves,HAZMAT Report,DOC-2565,39,75,0.14,Lt Brooks,Night,1
REC-1048,2025-09-26,Fuel Cell Shop,Ground Ops,haz_other,Other,Other,Low,ppe_chemical_resistant_gloves,Chemical Resistant Gloves,Hot Work Permit,DOC-2239,63,80,6.43,Civ Patel,Day,0
REC-1049,2025-11-28,Fuel Cell Shop,Avionics Work,haz_reaction_pressure_vacuum,Reaction/ Pressure/ Vacuum,Mechanical & Equipment,Severe,ppe_goggles; ppe_face_shield,Goggles; Face Shield,JSA,DOC-2479,68,106,14.15,Civ Patel,Night,1
REC-1050,2025-07-14,Paint Booth,Avionics Work,haz_walking_space,Walking Space,Physical Environment,Low,ppe_face_shield,Face Shield,JSA,DOC-2234,103,57,14.99,Capt Howard,Night,0
REC-1051,2025-04-27,Maintenance Bay 1,Ground Ops,haz_gravity_potential_energy,Gravity/ Potential Energy,Mechanical & Equipment,Low,ppe_passive_guard_rails_restraint; ppe_supplied_air; ppe_heat_cold_resistant_gloves; ppe_double_hearing_protection,"Passive (Guard Rails, Restraint); Supplied Air; Heat/Cold Resistant Gloves; Double Hearing Protection",Noise Survey,DOC-2356,82,97,4.88,TSgt Rivera,Day,0
REC-1052,2026-01-06,Paint Booth,Avionics Work,haz_overhead_work_falling_objects,Overhead Work/ Falling Objects,Physical Environment,High,ppe_steel_toe_shoes; ppe_respirator; ppe_face_shield; ppe_supplied_air,Steel Toe Shoes; Respirator; Face Shield; Supplied Air,JSA,DOC-2993,81,120,12.39,TSgt Rivera,Night,1
REC-1053,2025-05-31,Paint Booth,Ground Ops,haz_overhead_work_falling_objects,Overhead Work/ Falling Objects,Physical Environment,Severe,ppe_cut_resistant_gloves,Cut Resistant Gloves,JSA,DOC-2208,64,71,13.92,Lt Brooks,Night,1
REC-1054,2025-02-22,Flight Line,Avionics Work,haz_lifting_twisting_pulling,Lifting/ Twisting/ Pulling,Ergonomics & Human Factors,Low,ppe_chemical_resistant_gloves,Chemical Resistant Gloves,Confined Space Permit,DOC-2417,41,83,14.88,TSgt Rivera,Swing,0
REC-1055,2025-06-18,Maintenance Bay 2,Fuel System Repair,haz_reaching_awkward_position,Reaching/ Awkward Position,Ergonomics & Human Factors,Severe,ppe_steel_toe_shoes; ppe_passive_guard_rails_restraint; ppe_heat_cold_resistant_gloves; ppe_papr,"Steel Toe Shoes; Passive (Guard Rails, Restraint); Heat/Cold Resistant Gloves; PAPR",Confined Space Permit,DOC-2148,79,79,13.84,Civ Patel,Night,0
REC-1056,2025-10-07,Hangar A,Avionics Work,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,High,ppe_papr; ppe_hard_hat; ppe_passive_guard_rails_restraint,"PAPR; Hard Hat; Passive (Guard Rails, Restraint)",Confined Space Permit,DOC-2593,92,74,6.75,Lt Brooks,Swing,0
REC-1057,2025-10-24,Maintenance Bay 1,Routine Inspection,haz_housekeeping,Housekeeping,Physical Environment,High,ppe_hard_hat; ppe_cut_resistant_gloves; ppe_chemical_resistant_gloves; ppe_respirator,Hard Hat; Cut Resistant Gloves; Chemical Resistant Gloves; Respirator,Hot Work Permit,DOC-2484,78,104,14.83,MSgt Coleman,Swing,0
REC-1058,2025-05-27,Maintenance Bay 2,Routine Inspection,haz_pace_repetitive_motion,Pace/ Repetitive Motion,Ergonomics & Human Factors,Moderate,ppe_ear_plugs; ppe_supplied_air; ppe_rescue_plan_required_for_active_restraints,Ear Plugs; Supplied Air; Rescue Plan (required for active restraints),Noise Survey,DOC-2891,49,64,7.1,Capt Howard,Swing,1
REC-1059,2025-04-06,Maintenance Bay 2,Routine Inspection,haz_excessive_force_exertion_level,Excessive Force/ Exertion Level,Ergonomics & Human Factors,Low,ppe_active_harness_and_lanyard; ppe_respirator; ppe_hard_hat,Active (Harness and Lanyard); Respirator; Hard Hat,HAZMAT Report,DOC-2646,66,84,11.23,Lt Brooks,Day,0
REC-1060,2026-01-28,Paint Booth,Routine Inspection,haz_walking_space,Walking Space,Physical Environment,High,ppe_steel_toe_shoes; ppe_safety_glasses,Steel Toe Shoes; Safety Glasses,Air Quality Log,DOC-2383,85,73,3.74,Lt Brooks,Night,0
REC-1061,2025-04-09,Engine Shop,Ground Ops,haz_electrical_mechanical_energy,Electrical/ Mechanical Energy,Mechanical & Equipment,Moderate,ppe_goggles; ppe_respirator,Goggles; Respirator,HAZMAT Report,DOC-2472,62,113,3.9,TSgt Rivera,Swing,0
REC-1062,2025-08-28,Fuel Cell Shop,Chemical Cleaning,haz_electrical_mechanical_energy,Electrical/ Mechanical Energy,Mechanical & Equipment,High,ppe_supplied_air,Supplied Air,Noise Survey,DOC-2865,68,80,14.99,Lt Brooks,Day,0
REC-1063,2026-02-09,Maintenance Bay 1,Avionics Work,haz_housekeeping,Housekeeping,Physical Environment,Low,ppe_rescue_plan_required_for_active_restraints; ppe_steel_toe_shoes; ppe_active_harness_and_lanyard,Rescue Plan (required for active restraints); Steel Toe Shoes; Active (Harness and Lanyard),Confined Space Permit,DOC-2885,36,118,12.51,Capt Howard,Day,0
REC-1064,2025-04-05,Hangar B,Routine Inspection,haz_line_of_fire,Line of Fire,Mechanical & Equipment,High,ppe_heat_cold_resistant_gloves; ppe_earmuffs,Heat/Cold Resistant Gloves; Earmuffs,Noise Survey,DOC-2034,104,101,11.01,TSgt Rivera,Swing,0
REC-1065,2025-05-20,Paint Booth,Avionics Work,haz_overhead_work_falling_objects,Overhead Work/ Falling Objects,Physical Environment,Moderate,ppe_cut_resistant_gloves; ppe_earmuffs,Cut Resistant Gloves; Earmuffs,Air Quality Log,DOC-2935,91,92,11.22,Capt Howard,Day,1
REC-1066,2025-05-11,Paint Booth,Engine Removal,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,Severe,ppe_chemical_resistant_gloves; ppe_respirator,Chemical Resistant Gloves; Respirator,JSA,DOC-2270,98,70,6.88,Capt Howard,Night,1
REC-1067,2025-06-24,Hangar A,Sheet Metal Repair,haz_hot_cold_surfaces,Hot/ Cold Surfaces,Physical Environment,Moderate,ppe_chemical_resistant_gloves,Chemical Resistant Gloves,Hot Work Permit,DOC-2064,89,93,9.77,TSgt Rivera,Day,0
REC-1068,2025-10-23,Flight Line,Chemical Cleaning,haz_hazardous_materials_exposure,Hazardous Materials Exposure,Chemical & Airborne,Severe,ppe_fr_clothing; ppe_ear_plugs; ppe_active_harness_and_lanyard,FR Clothing; Ear Plugs; Active (Harness and Lanyard),Air Quality Log,DOC-2686,99,108,8.85,MSgt Coleman,Swing,0
REC-1069,2025-07-08,Maintenance Bay 2,Fuel System Repair,haz_fall_from_elevation,Fall From Elevation,"Slips, Trips, Falls & Work at Height",High,ppe_heat_cold_resistant_gloves; ppe_face_shield; ppe_bump_cap; ppe_cut_resistant_gloves,Heat/Cold Resistant Gloves; Face Shield; Bump Cap; Cut Resistant Gloves,JSA,DOC-2702,77,100,1.0,Capt Howard,Day,0
REC-1070,2025-03-29,Hangar A,Routine Inspection,haz_cut_puncture_sharp_edge,Cut/Puncture/ Sharp Edge,Sharp Objects,High,ppe_cut_resistant_gloves,Cut Resistant Gloves,HAZMAT Report,DOC-2128,102,81,1.12,Civ Patel,Day,0
REC-1071,2025-12-08,Flight Line,Avionics Work,haz_line_of_fire,Line of Fire,Mechanical & Equipment,Moderate,ppe_earmuffs; ppe_safety_glasses; ppe_heat_cold_resistant_gloves,Earmuffs; Safety Glasses; Heat/Cold Resistant Gloves,JSA,DOC-2676,33,71,0.32,MSgt Coleman,Night,0
REC-1072,2025-12-18,Maintenance Bay 1,Engine Removal,haz_fire_explosion,Fire/ Explosion,Chemical & Airborne,Low,ppe_heat_cold_resistant_gloves; ppe_face_shield,Heat/Cold Resistant Gloves; Face Shield,Noise Survey,DOC-2459,76,120,8.95,Lt Brooks,Night,0
REC-1073,2025-06-20,Maintenance Bay 1,Chemical Cleaning,haz_hazardous_materials_exposure,Hazardous Materials Exposure,Chemical & Airborne,Low,ppe_supplied_air; ppe_safety_glasses; ppe_face_shield,Supplied Air; Safety Glasses; Face Shield,Noise Survey,DOC-2729,86,64,13.5,Capt Howard,Night,0
REC-1074,2025-02-21,Paint Booth,Chemical Cleaning,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,High,ppe_heat_cold_resistant_gloves; ppe_active_harness_and_lanyard,Heat/Cold Resistant Gloves; Active (Harness and Lanyard),Noise Survey,DOC-2517,107,110,1.58,TSgt Rivera,Night,0
REC-1075,2025-07-31,Maintenance Bay 1,Engine Removal,haz_path_of_travel,Path of Travel,Physical Environment,High,ppe_chemical_resistant_gloves; ppe_papr; ppe_hard_hat; ppe_supplied_air,Chemical Resistant Gloves; PAPR; Hard Hat; Supplied Air,Noise Survey,DOC-2320,62,102,14.31,Lt Brooks,Day,0
REC-1076,2026-01-02,Paint Booth,Welding Task,haz_excessive_force_exertion_level,Excessive Force/ Exertion Level,Ergonomics & Human Factors,Low,ppe_papr,PAPR,Confined Space Permit,DOC-2979,101,97,10.08,Lt Brooks,Swing,1
REC-1077,2025-05-01,Engine Shop,Welding Task,haz_spill_release,Spill/ Release,Chemical & Airborne,Severe,ppe_steel_toe_shoes; ppe_bump_cap; ppe_ear_plugs,Steel Toe Shoes; Bump Cap; Ear Plugs,HAZMAT Report,DOC-2867,43,99,12.7,Capt Howard,Day,0
REC-1078,2026-02-06,Flight Line,Avionics Work,haz_line_of_fire,Line of Fire,Mechanical & Equipment,High,ppe_active_harness_and_lanyard; ppe_rescue_plan_required_for_active_restraints; ppe_safety_glasses; ppe_heat_cold_resistant_gloves,Active (Harness and Lanyard); Rescue Plan (required for active restraints); Safety Glasses; Heat/Cold Resistant Gloves,Air Quality Log,DOC-2359,30,78,13.06,Civ Patel,Night,1
REC-1079,2025-05-25,Engine Shop,Chemical Cleaning,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,Severe,ppe_safety_glasses; ppe_goggles,Safety Glasses; Goggles,Noise Survey,DOC-2349,50,102,4.74,Capt Howard,Night,0
REC-1080,2025-03-12,Hangar B,Avionics Work,haz_spill_release,Spill/ Release,Chemical & Airborne,Severe,ppe_double_hearing_protection; ppe_face_shield,Double Hearing Protection; Face Shield,Hot Work Permit,DOC-2434,92,111,6.27,MSgt Coleman,Night,0
REC-1081,2026-01-28,Engine Shop,Chemical Cleaning,haz_high_noise,High Noise,Physical Environment,Low,ppe_ear_plugs; ppe_steel_toe_shoes; ppe_fr_clothing; ppe_active_harness_and_lanyard,Ear Plugs; Steel Toe Shoes; FR Clothing; Active (Harness and Lanyard),JSA,DOC-2209,68,82,11.53,Capt Howard,Swing,0
REC-1082,2025-07-15,Flight Line,Welding Task,haz_lifting_twisting_pulling,Lifting/ Twisting/ Pulling,Ergonomics & Human Factors,Severe,ppe_fr_clothing,FR Clothing,Confined Space Permit,DOC-2720,59,119,8.42,Capt Howard,Day,1
REC-1083,2025-05-02,Maintenance Bay 1,Chemical Cleaning,haz_hazardous_materials_exposure,Hazardous Materials Exposure,Chemical & Airborne,Severe,ppe_safety_glasses; ppe_supplied_air; ppe_goggles; ppe_hard_hat,Safety Glasses; Supplied Air; Goggles; Hard Hat,Air Quality Log,DOC-2117,81,57,14.5,MSgt Coleman,Night,1
REC-1084,2025-12-28,Engine Shop,Chemical Cleaning,haz_hot_cold_surfaces,Hot/ Cold Surfaces,Physical Environment,Severe,ppe_papr,PAPR,Confined Space Permit,DOC-2080,80,94,11.21,MSgt Coleman,Swing,0
REC-1085,2025-06-04,Engine Shop,Sheet Metal Repair,haz_ventilation_fumes_mist_dust,Ventilation/ Fumes/ Mist/ Dust,Chemical & Airborne,High,ppe_passive_guard_rails_restraint,"Passive (Guard Rails, Restraint)",Hot Work Permit,DOC-2981,48,85,1.63,Capt Howard,Day,0
REC-1086,2025-04-05,Maintenance Bay 2,Ground Ops,haz_reaching_awkward_position,Reaching/ Awkward Position,Ergonomics & Human Factors,Severe,ppe_double_hearing_protection,Double Hearing Protection,Hot Work Permit,DOC-2946,102,96,12.98,Capt Howard,Day,1
